FAULT LATITUDE & LONGITUDE DATA - ALL INDIA SEISAT SHEETS (COMPILED),,,,,,
SEISAT SHEET,FAULT TYPE,S.NO,FAULT NAME,ABBREVIATION,LONGITUDE,LATITUDE
SEISAT-19,NEOTECTONIC FAULT,1,,F1,72.6,21.1
SEISAT-19,NEOTECTONIC FAULT,1,,F1,72.8,21.2
SEISAT-19,NEOTECTONIC FAULT,1,,F1,72.98,21.3
SEISAT-19,NEOTECTONIC FAULT,2,PALDI FAULT,F2a,72.7,21.93
SEISAT-19,NEOTECTONIC FAULT,2,PALDI FAULT,F2a,72.75,21.88
SEISAT-19,NEOTECTONIC FAULT,2,PALDI FAULT,F2a,72.8,21.83
SEISAT-19,NEOTECTONIC FAULT,3,PALDI FAULT,F2b,72.91,21.55
SEISAT-19,NEOTECTONIC FAULT,3,PALDI FAULT,F2b,72.96,21.46
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72,23.5
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.1,23.4
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.2,23.2
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.3,23.1
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.35,23
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.4,22.9
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.38,22.65
SEISAT-19,NEOTECTONIC FAULT,4,MARGINAL FAULT,F3a,72.35,22.35
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.03,24.35
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.1,24.2
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.2,24.1
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.3,24
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.4,23.85
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.5,23.6
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.7,23.4
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.8,23.2
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.9,23
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,72.95,22.8
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,73,22.6
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,73.08,22.4
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,73.15,22.2
SEISAT-19,NEOTECTONIC FAULT,5,MARGINAL FAULT,F3b,73.3,22.1
SEISAT-19,NEOTECTONIC FAULT,6,MARGINAL FAULT,F3c,72,24.5
SEISAT-19,NEOTECTONIC FAULT,6,MARGINAL FAULT,F3c,72.25,24.55
SEISAT-19,NEOTECTONIC FAULT,6,MARGINAL FAULT,F3c,72.5,24.65
SEISAT-19,NEOTECTONIC FAULT,7,MARGINAL FAULT,F3d,72.08,24.7
SEISAT-19,NEOTECTONIC FAULT,7,MARGINAL FAULT,F3d,72.12,24.8
SEISAT-19,NEOTECTONIC FAULT,7,MARGINAL FAULT,F3d,72.16,25
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,73.2,21.4
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,73.5,21.45
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,73.8,21.45
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,74,21.5
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,74.2,21.55
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,74.4,21.6
SEISAT-19,NEOTECTONIC FAULT,8,TAPTI NORTH FAULT,F4a,74.7,21.65
SEISAT-19,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4b,74.45,21.55
SEISAT-19,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4b,74.6,21.6
SEISAT-19,NEOTECTONIC FAULT,9,TAPTI NORTH FAULT,F4b,74.7,21.7
SEISAT-19,NEOTECTONIC FAULT,10,TAPTI NORTH FAULT,F4c,74.4,21.4
SEISAT-19,NEOTECTONIC FAULT,10,TAPTI NORTH FAULT,F4c,74.57,21.47
SEISAT-19,NEOTECTONIC FAULT,10,TAPTI NORTH FAULT,F4c,74.7,21.55
SEISAT-19,NEOTECTONIC FAULT,11,TAPTI NORTH FAULT,F4d,74.54,21.52
SEISAT-19,NEOTECTONIC FAULT,11,TAPTI NORTH FAULT,F4d,74.8,21.4
SEISAT-19,NEOTECTONIC FAULT,11,TAPTI NORTH FAULT,F4d,75,21.25
SEISAT-19,NEOTECTONIC FAULT,12,TAPTI NORTH FAULT,F4e,74.6,21.67
SEISAT-19,NEOTECTONIC FAULT,12,TAPTI NORTH FAULT,F4e,74.7,21.55
SEISAT-19,NEOTECTONIC FAULT,12,TAPTI NORTH FAULT,F4e,74.8,21.4
SEISAT-19,NEOTECTONIC FAULT,13,TAPTI NORTH FAULT,F4f,74.8,21.38
SEISAT-19,NEOTECTONIC FAULT,13,TAPTI NORTH FAULT,F4f,74.87,21.41
SEISAT-19,NEOTECTONIC FAULT,13,TAPTI NORTH FAULT,F4f,74.92,21.46
SEISAT-19,NEOTECTONIC FAULT,14,TAPTI NORTH FAULT,F4g,74.87,21.41
SEISAT-19,NEOTECTONIC FAULT,14,TAPTI NORTH FAULT,F4g,74.92,21.38
SEISAT-19,NEOTECTONIC FAULT,15,TAPTI NORTH FAULT,F4h,74.9,21.35
SEISAT-19,NEOTECTONIC FAULT,15,TAPTI NORTH FAULT,F4h,75,21.28
SEISAT-19,NEOTECTONIC FAULT,16,TAPTI NORTH FAULT,F4i,74.89,21.33
SEISAT-19,NEOTECTONIC FAULT,16,TAPTI NORTH FAULT,F4i,74.93,21.4
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,73.25,21.75
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,73.5,21.8
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,73.8,21.87
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74,21.9
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.2,21.95
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.4,22
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.6,22.05
SEISAT-19,NEOTECTONIC FAULT,17,SON NARMADA FAULT,F5a,74.8,22.08
SEISAT-19,NEOTECTONIC FAULT,18,SON NARMADA FAULT,F5b,73.5,21.7
SEISAT-19,NEOTECTONIC FAULT,18,SON NARMADA FAULT,F5b,73.75,21.8
SEISAT-19,NEOTECTONIC FAULT,18,SON NARMADA FAULT,F5b,73.9,21.9
SEISAT-19,NEOTECTONIC FAULT,19,SON NARMADA FAULT,F5c,73.55,21.8
SEISAT-19,NEOTECTONIC FAULT,19,SON NARMADA FAULT,F5c,73.8,21.85
SEISAT-19,NEOTECTONIC FAULT,20,SON NARMADA FAULT,F5d,73.8,21.8
SEISAT-19,NEOTECTONIC FAULT,20,SON NARMADA FAULT,F5d,73.9,21.9
SEISAT-19,NEOTECTONIC FAULT,21,BARWANI SUKTA FAULT,F6,74.72,22.1
SEISAT-19,NEOTECTONIC FAULT,21,BARWANI SUKTA FAULT,F6,74.86,21.95
SEISAT-19,NEOTECTONIC FAULT,21,BARWANI SUKTA FAULT,F6,75,21.8
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.4,22.15
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.5,22.12
SEISAT-19,FAULT INVOLVING COVER,1,BARWANI SUKTA FAULT,F7a,73.6,22.1
